Date,Open,High,Low,Close,Adj Close,Volume
2019-02-07,268.640015,270.579987,267.260010,269.000000,256.635162,2458200
2019-02-08,267.500000,268.700012,260.320007,261.899994,249.861496,4547000
2019-02-11,261.170013,261.179993,256.339996,257.140015,245.320358,4856200
2019-02-12,259.220001,264.000000,256.920013,263.500000,251.387970,4327900
2019-02-13,263.519989,266.290009,263.149994,263.799988,251.674194,3066400
2019-02-14,263.239990,267.070007,262.709991,265.329987,253.133865,3015300
2019-02-15,267.790009,271.130005,266.619995,271.130005,258.667267,3673700
2019-02-19,271.170013,272.489990,269.279999,270.410004,257.980377,2486700
2019-02-20,269.209991,270.589996,268.179993,269.510010,257.121674,2802800
2019-02-21,269.470001,269.940002,265.100006,266.399994,254.154709,2554300
2019-02-22,266.500000,268.390015,265.950012,267.109985,254.832077,3191100
2019-02-25,267.579987,268.170013,264.380005,264.600006,252.437424,3679100
2019-02-26,264.660004,265.429993,262.799988,262.980011,250.891953,3212900
2019-02-27,261.609985,261.609985,248.940002,250.080002,238.584839,8952900
2019-02-28,249.699997,251.949997,239.149994,242.220001,231.086121,11034300
2019-03-01,243.559998,248.000000,243.559998,246.149994,234.835495,6921300
2019-03-04,248.119995,248.449997,234.509995,236.020004,225.171158,8646300
2019-03-05,236.529999,243.199997,234.940002,241.429993,230.332458,6924500
2019-03-06,241.740005,241.740005,237.029999,239.070007,228.080948,4878700
2019-03-07,240.300003,241.179993,235.550003,236.699997,225.819870,5033500
2019-03-08,235.149994,239.410004,234.639999,237.289993,227.246796,4921700
2019-03-11,239.210007,244.020004,236.419998,243.149994,232.858810,4539600
2019-03-12,244.949997,247.479996,243.740005,245.880005,235.473251,4235800
2019-03-13,247.960007,252.759995,247.080002,252.250000,241.573639,4881600
2019-03-14,253.000000,255.059998,252.339996,253.270004,242.550476,3865200
2019-03-15,254.339996,254.740005,249.940002,251.399994,240.759613,6466200
2019-03-18,252.660004,255.309998,250.419998,255.000000,244.207245,3927400
2019-03-19,255.949997,259.250000,255.139999,257.130005,246.247147,4164800
2019-03-20,257.429993,257.690002,249.970001,250.500000,239.897690,4193500
2019-03-21,249.190002,252.960007,248.660004,252.020004,241.353378,2699700
2019-03-22,250.570007,251.199997,246.990005,247.089996,236.632019,3777900
2019-03-25,247.419998,247.419998,240.779999,246.860001,236.411758,4110900
2019-03-26,247.259995,247.889999,241.720001,243.389999,233.088638,4416200
2019-03-27,242.940002,245.679993,238.160004,241.710007,231.479767,4819200
2019-03-28,242.589996,242.850006,238.889999,242.229996,231.977753,3601500
2019-03-29,244.289993,247.759995,241.869995,247.259995,236.794830,4294200
2019-04-01,249.710007,250.199997,243.059998,245.539993,235.147614,4809500
2019-04-02,245.509995,246.399994,242.800003,244.410004,234.065475,4057100
2019-04-03,246.309998,247.539993,244.589996,245.839996,235.434937,2851400
2019-04-04,245.479996,249.110001,244.639999,247.389999,236.919327,2255500
2019-04-05,248.949997,249.309998,245.169998,248.779999,238.250488,3343000
2019-04-08,249.679993,249.679993,246.309998,248.750000,238.221786,2195400
2019-04-09,247.570007,249.940002,245.949997,248.789993,238.260086,2903800
2019-04-10,248.779999,249.869995,245.520004,246.029999,235.616867,2753700
2019-04-11,246.050003,246.919998,232.679993,235.419998,225.455978,8223400
2019-04-12,236.500000,236.779999,220.770004,223.220001,213.772324,13979400
2019-04-15,225.770004,230.970001,224.410004,230.199997,220.456879,10021800
2019-04-16,238.009995,238.009995,215.820007,220.960007,211.607956,27361400
2019-04-17,223.789993,224.240005,208.070007,216.839996,207.662323,22101400
2019-04-18,217.139999,223.000000,214.210007,221.750000,212.364563,13927200
2019-04-22,224.000000,227.559998,221.500000,227.110001,217.497665,11191800
2019-04-23,228.250000,231.940002,226.100006,230.580002,220.820801,10261400
2019-04-24,230.089996,231.630005,227.750000,230.350006,220.600571,6104100
2019-04-25,228.529999,232.119995,228.130005,230.789993,221.021927,5954500
2019-04-26,232.139999,237.110001,231.190002,237.000000,226.969070,6186200
2019-04-29,237.399994,238.059998,234.160004,237.449997,227.400040,5345300
2019-04-30,238.080002,238.080002,230.190002,233.070007,223.205444,7632300
2019-05-01,233.070007,234.619995,230.350006,231.949997,222.132843,4823200
2019-05-02,230.899994,233.339996,228.080002,232.449997,222.611679,5499200
2019-05-03,232.839996,233.899994,227.179993,231.949997,222.132843,4323100
2019-05-06,228.169998,240.570007,227.500000,240.500000,230.320984,7180200
2019-05-07,239.190002,243.149994,236.399994,238.050003,227.974640,5104700
2019-05-08,238.000000,240.809998,235.529999,239.149994,229.028091,3768400
2019-05-09,236.600006,240.539993,235.669998,237.970001,227.898041,4299500
2019-05-10,239.970001,242.619995,236.369995,240.589996,230.407166,4374400
2019-05-13,236.449997,240.100006,236.199997,239.550003,229.411148,4684400
2019-05-14,240.639999,240.990005,236.279999,236.429993,226.423218,5329700
2019-05-15,235.000000,237.529999,232.619995,236.080002,226.088043,5099700
2019-05-16,235.889999,240.449997,235.720001,236.789993,226.767960,4456400
